qb_name,draft_year,draft_round,college,col_cmp_pct,col_ppa_pass,col_rush_yds_per_att,col_usage_overall,col_int_rate,col_team_win_pct,cluster_id,cluster_label,pc1,pc2,pc3,composite_nfl_score,recruit_rating_scaled
Baker Mayfield,2018,1,Oklahoma,71.1,0.714,2.85,0.4765,1.86,0.85165,3,Elite Multi-Dimensional,3.3643,-0.9234,0.6327,58.73758076894992,
Sam Darnold,2018,1,USC,65.51,0.465,2.73,0.4835,2.67,0.77745,0,Pure Pocket Passers,-0.1569,1.2884,-0.5238,56.89458815253122,93.38
Josh Allen,2018,1,Wyoming,56.25,0.28,3.15,0.529,3.21,0.5933999999999999,2,Raw Dual-Threats,-3.6398,1.4352,1.1129,48.668483009898125,
Josh Rosen,2018,1,UCLA,61.44,0.3375,-2.35,0.575,2.2,0.3974,0,Pure Pocket Passers,-2.9909,0.1322,-1.3469,29.37477508195416,99.32
Lamar Jackson,2018,1,Louisville,59.03,0.3389999999999999,6.74,0.6785000000000001,1.92,0.65385,2,Raw Dual-Threats,-2.0295,-0.2646,2.5411,79.23378158288406,88.19
Mason Rudolph,2018,3,Oklahoma St.,64.03,0.461,0.61,0.5365,1.49,0.7692,0,Pure Pocket Passers,0.0626,-0.9022,-0.255,51.2436092633167,90.03999999999999
Kyler Murray,2019,1,Oklahoma,71.67,0.722,7.6,0.309,1.94,0.8571,1,Efficient Passers,6.3821,2.7242,0.8755,72.10840711194898,98.54
Daniel Jones,2019,1,Duke,57.2,0.103,3.12,0.6105,2.36,0.57695,2,Raw Dual-Threats,-5.0845,0.9834,0.1629,59.22545707022352,79.0
Dwayne Haskins,2019,1,Ohio St.,70.05,0.481,2.14,0.3335,1.63,0.8928499999999999,1,Efficient Passers,2.9328,1.8893,-1.3325,42.80979661054838,95.61
Drew Lock,2019,2,Missouri,60.71,0.4509999999999999,2.81,0.486,2.55,0.57695,0,Pure Pocket Passers,-0.9566,1.0595,-0.7217,48.28179639035445,95.53
Ryan Finley,2019,4,North Carolina St.,65.74,0.3765,2.26,0.538,1.62,0.6923,0,Pure Pocket Passers,-1.6013,-0.6329,-1.2083,19.95832953990675,
Gardner Minshew II,2019,6,Washington St.,66.19,0.28,0.9,0.573,1.74,0.5481,0,Pure Pocket Passers,-2.1062,0.2981,-2.0583,67.32871200296881,80.89
Joe Burrow,2020,1,LSU,68.88,0.4435,3.09,0.5509999999999999,1.28,0.8846,3,Elite Multi-Dimensional,0.6775,-1.4853,0.8861,84.13741566164533,90.03
Tua Tagovailoa,2020,1,Alabama,69.41,0.6455,2.92,0.4335,1.28,0.88975,1,Efficient Passers,4.5158,-0.8229,-0.1842,71.7229318110469,98.43
Justin Herbert,2020,1,Oregon,63.29,0.3415,1.67,0.5025,1.67,0.7746999999999999,0,Pure Pocket Passers,-1.2114,-0.4766,-0.2908,80.23897925207709,86.14
Jalen Hurts,2020,2,Oklahoma,72.15,0.661,5.62,0.3615,2.39,0.8952,1,Efficient Passers,4.24,2.5508,0.7721,59.90874724714932,92.62
Trevor Lawrence,2021,1,Clemson,69.02,0.4505,4.58,0.5025,1.93,0.8833,3,Elite Multi-Dimensional,1.436,0.4087,0.1226,62.57363502293936,99.99
Zach Wilson,2021,1,BYU,67.99,0.423,2.97,0.521,1.73,0.7276,0,Pure Pocket Passers,0.4939,0.2426,-0.3914,33.60230634984396,85.39999999999999
Trey Lance,2021,1,North Dakota St.,,,,,,,0,Pure Pocket Passers,-0.2162,-0.245,-0.3871,47.50820703707132,81.04
