qb_name,draft_year,draft_round,draft_pick,nfl_team,college,nfl_g,nfl_gs,nfl_cmp,nfl_att,nfl_yds,nfl_td,nfl_int,nfl_sk,nfl_iay,nfl_cay,nfl_yac,nfl_bats,nfl_thawy,nfl_spikes,nfl_drops,nfl_badth,nfl_ontgt,nfl_bltz,nfl_hrry,nfl_hits,nfl_prss,nfl_scrm,nfl_rpo_plays,nfl_rpo_yds,nfl_rpo_passatt,nfl_rpo_passyds,nfl_rpo_rushatt,nfl_rpo_rushyds,nfl_pa_passatt,nfl_pa_passyds,nfl_cmp_pct,nfl_td_pct,nfl_int_pct,nfl_y_a,nfl_ay_a,nfl_ny_a,nfl_any_a,nfl_rate,nfl_sk_pct,nfl_iay_per_att,nfl_cay_per_cmp,nfl_cay_per_att,nfl_yac_per_cmp,nfl_drop_pct,nfl_badth_pct,nfl_ontgt_pct,nfl_pkttime,nfl_prss_pct,nfl_yds_per_scr,nfl_qbr,nfl_seasons_found,nfl_seasons,has_advanced_stats,nfl_rush_att_x,nfl_rush_yds_x,nfl_rush_1d_x,nfl_rush_ybc_x,nfl_rush_yac_x,nfl_rush_brk_tkl_x,nfl_rush_ybc_per_att_x,nfl_rush_yac_per_att_x,nfl_rush_att_per_brk_x,nfl_rush_yds_per_att_x,nfl_rush_seasons_found_x,nfl_rush_att_y,nfl_rush_yds_y,nfl_rush_1d_y,nfl_rush_ybc_y,nfl_rush_yac_y,nfl_rush_brk_tkl_y,nfl_rush_ybc_per_att_y,nfl_rush_yac_per_att_y,nfl_rush_att_per_brk_y,nfl_rush_yds_per_att_y,nfl_rush_seasons_found_y
Baker Mayfield,2018,1,1,CLE,Oklahoma,60.0,58.0,1254.0,2040.0,7552.0,49.0,35.0,65.0,9030.0,4036.0,3516.0,20.0,32.0,5.0,61.0,174.0,362.0,380.0,149.0,42.0,256.0,34.0,60.0,470.0,58.0,471.0,1.0,-1.0,125.0,1128.0,61.49647058823529,4.814705882352941,3.4235294117647057,7.438235294117647,6.819411764705882,6.541647058823529,6.014705882352941,85.89941176470587,5.978941176470589,8.881176470588235,6.395294117647059,3.9905882352941178,5.604705882352941,6.181176470588235,17.671176470588232,70.6,2.2523529411764702,22.89588235294118,8.138235294117647,52.8,4,"2018,2018,2019,2019",True,67.0,272.0,23.0,193.0,79.0,3.0,2.8522388059701496,1.1582089552238806,28.55223880597015,4.06,2,67.0,272.0,23.0,193.0,79.0,3.0,2.8522388059701496,1.1582089552238806,28.55223880597015,4.06,2
Sam Darnold,2018,1,3,NYJ,USC,52.0,52.0,1024.0,1710.0,5889.0,36.0,28.0,63.0,7457.0,3154.0,2735.0,10.0,47.0,3.0,44.0,149.0,313.0,273.0,132.0,51.0,246.0,23.0,35.0,241.0,32.0,235.0,2.0,6.0,92.0,675.0,59.86631578947368,4.203157894736842,3.238947368421053,6.9,6.254736842105262,5.959052631578947,5.354736842105264,81.0557894736842,6.863157894736842,8.732631578947368,6.184210526315789,3.693684210526316,5.351578947368422,5.467368421052632,18.526315789473685,75.2,2.451578947368421,26.16,7.854736842105264,45.75,4,"2018,2018,2019,2019",True,77.0,200.0,22.0,144.0,56.0,2.0,1.8285714285714287,0.7142857142857144,12.571428571428571,2.6,2,77.0,200.0,22.0,144.0,56.0,2.0,1.8285714285714287,0.7142857142857144,12.571428571428571,2.6,2
Josh Allen,2018,1,7,BUF,Wyoming,56.0,54.0,880.0,1562.0,5163.0,30.0,21.0,66.0,7774.0,2884.0,2279.0,10.0,42.0,3.0,49.0,166.0,317.0,327.0,99.0,76.0,241.0,89.0,42.0,267.0,32.0,240.0,8.0,27.0,93.0,787.0,56.34161331626121,3.808322663252241,2.737516005121639,6.618053777208708,6.167349551856595,5.568399487836108,5.167349551856595,78.17067861715749,7.79618437900128,9.996542893725993,6.581946222791293,3.677080665813061,5.186811779769527,6.667349551856595,22.51254801536492,73.2,2.3409731113956465,25.658386683738794,8.816005121638923,49.599999999999994,4,"2018,2018,2019,2019",True,198.0,1141.0,83.0,618.0,523.0,7.0,3.074242424242424,2.604545454545455,32.003535353535355,5.76,2,198.0,1141.0,83.0,618.0,523.0,7.0,3.0742424242424238,2.604545454545455,32.003535353535355,5.76,2
Josh Rosen,2018,1,10,ARI,UCLA,40.0,32.0,550.0,1004.0,2845.0,12.0,19.0,61.0,4163.0,1551.0,1294.0,7.0,23.0,1.0,29.0,100.0,73.0,134.0,55.0,53.0,169.0,17.0,11.0,26.0,10.0,26.0,0.0,0.0,15.0,40.0,54.76573705179283,2.3874501992031867,3.817131474103585,5.6697211155378495,4.474302788844621,4.322350597609561,3.2177290836653385,63.508167330677296,10.81934262948207,8.3,5.630876494023904,3.0828685258964144,4.717131474103586,6.069123505976095,20.869123505976095,67.6,2.3217131474103585,29.10617529880478,9.075498007968127,21.9,4,"2018,2018,2019,2019",True,26.0,151.0,8.0,81.0,70.0,0.0,3.1500000000000004,2.6538461538461537,0.0,5.81,2,26.0,151.0,8.0,81.0,70.0,0.0,3.1500000000000004,2.6538461538461537,0.0,5.81,2
Lamar Jackson,2018,1,32,BAL,Louisville,62.0,44.0,728.0,1142.0,4328.0,42.0,9.0,39.0,5024.0,2452.0,1876.0,12.0,17.0,2.0,21.0,102.0,295.0,189.0,64.0,30.0,133.0,58.0,173.0,1259.0,77.0,588.0,92.0,671.0,116.0,892.0,63.747985989492115,7.362521891418564,1.5893169877408055,7.5915936952714524,8.33432574430823,6.81739054290718,7.545008756567425,104.72556917688266,6.36676007005254,8.770227670753066,6.759544658493871,4.28091068301226,5.129772329246935,3.808406304728547,18.45271453590193,76.0,2.570227670753065,19.80245183887916,9.57092819614711,62.8,4,"2018,2018,2019,2019",True,323.0,1901.0,116.0,1366.0,535.0,6.0,4.21733746130031,1.6269349845201238,54.28544891640867,5.89,2,323.0,1901.0,116.0,1366.0,535.0,6.0,4.21733746130031,1.6269349845201238,54.28544891640867,5.89,2
Mason Rudolph,2018,3,76,PIT,Oklahoma St.,20.0,16.0,352.0,566.0,1765.0,13.0,9.0,15.0,2286.0,836.0,929.0,4.0,14.0,0.0,16.0,54.0,192.0,113.0,35.0,30.0,80.0,10.0,14.0,89.0,13.0,88.0,1.0,1.0,39.0,165.0,62.20000000000001,4.6,3.2,6.2,5.7,5.51,5.0,82.0,5.03,8.1,4.8,3.0,5.3,5.9,20.1,71.4,2.6,26.0,5.0,36.2,2,"2019,2019",True,21.0,42.0,6.0,21.0,21.0,1.0,1.0,1.0,21.0,2.0,1,21.0,42.0,6.0,21.0,21.0,1.0,1.0,1.0,21.0,2.0,1
Kyler Murray,2019,1,1,ARI,Oklahoma,64.0,64.0,1448.0,2200.0,7693.0,46.0,24.0,75.0,8327.0,4083.0,3610.0,32.0,49.0,12.0,30.0,180.0,783.0,307.0,118.0,40.0,233.0,79.0,279.0,2175.0,191.0,1643.0,76.0,532.0,223.0,1815.0,65.82036363636364,4.207272727272727,2.2,7.001454545454545,6.8536363636363635,6.140163636363637,6.007272727272727,90.90018181818184,6.3544,7.602909090909091,5.653636363636363,3.753636363636363,4.995636363636364,2.894181818181818,17.342,75.32618181818181,2.3507272727272728,18.62163636363637,7.660909090909091,59.8,4,"2019,2019,2020,2020",True,226.0,1363.0,79.0,1136.0,227.0,9.0,5.035398230088496,1.041150442477876,25.24203539823009,6.03,2,226.0,1363.0,79.0,1136.0,227.0,9.0,5.035398230088496,1.0411504424778761,25.24203539823009,6.03,2
Daniel Jones,2019,1,6,NYG,Duke,54.0,52.0,1128.0,1814.0,5970.0,35.0,22.0,83.0,7084.0,3446.0,2524.0,14.0,26.0,2.0,40.0,156.0,643.0,331.0,104.0,121.0,308.0,49.0,83.0,692.0,56.0,505.0,22.0,187.0,176.0,1356.0,62.19636163175303,3.866372657111356,2.402425578831312,6.599999999999999,6.302425578831311,5.44566703417861,5.153031973539141,84.09426681367144,8.381025358324147,7.802425578831311,6.095148842337376,3.796361631753032,4.50606394707828,4.54090407938258,17.751819184123484,73.12513781697905,2.5,29.642116868798237,8.153031973539141,54.85,4,"2019,2019,2020,2020",True,110.0,702.0,38.0,611.0,91.0,3.0,5.554545454545455,0.8227272727272728,47.61363636363637,6.38,2,110.0,702.0,38.0,611.0,91.0,3.0,5.554545454545455,0.8227272727272728,47.61363636363637,6.38,2
Dwayne Haskins,2019,1,15,WAS,Ohio St.,32.0,26.0,534.0,888.0,2804.0,12.0,14.0,49.0,3373.0,1322.0,1482.0,9.0,10.0,1.0,26.0,91.0,310.0,141.0,47.0,41.0,137.0,19.0,47.0,266.0,41.0,259.0,3.0,7.0,76.0,495.0,60.119819819819824,2.6943693693693693,3.1286036036036036,6.320045045045046,5.465765765765767,4.983716216216216,4.191441441441442,74.41734234234235,9.872882882882882,7.568693693693693,4.997297297297297,2.994369369369369,5.579954954954955,6.014414414414413,21.028378378378378,71.6117117117117,2.4371621621621617,26.594819819819826,7.568468468468469,26.4,4,"2019,2019,2020,2020",True,40.0,147.0,13.0,115.0,32.0,0.0,2.9,0.85,0.0,3.68,2,40.0,147.0,13.0,115.0,32.0,0.0,2.9,0.85,0.0,3.68,2
Drew Lock,2019,2,42,DEN,Missouri,36.0,36.0,708.0,1198.0,3953.0,23.0,18.0,24.0,4936.0,1997.0,1956.0,6.0,17.0,2.0,34.0,125.0,406.0,195.0,69.0,64.0,157.0,33.0,38.0,238.0,33.0,208.0,4.0,30.0,123.0,1058.0,59.07095158597663,3.834390651085142,3.0093489148580965,6.573956594323873,6.008347245409015,6.103439065108514,5.534390651085142,79.12420701168615,3.849565943238732,8.279131886477462,5.6614357262103505,3.3697829716193657,5.5,5.826043405676127,21.571786310517528,69.9677796327212,2.6,23.95726210350584,6.182303839732888,45.7,4,"2019,2019,2020,2020",True,62.0,232.0,18.0,213.0,19.0,2.0,3.429032258064516,0.2870967741935484,2.6129032258064515,3.74,2,62.0,232.0,18.0,213.0,19.0,2.0,3.429032258064516,0.2870967741935484,2.6129032258064515,3.74,2
