qb_name,draft_year,college,col_completions,col_att,col_yds,col_td,col_int,col_sacks,col_sack_yds,col_rush_car,col_rush_yds,col_rush_td,col_ppa_plays,col_cmp_pct,col_yds_per_att,col_td_int_ratio,col_int_rate,col_sack_rate,col_rush_yds_per_att,col_ppa_overall,col_ppa_pass,col_ppa_rush,col_usage_overall,col_usage_pass,col_usage_rush,col_usage_first_down,col_usage_second_down,col_usage_third_down,col_team_win_pct,col_conference,col_team,col_seasons_found,recruit_stars,recruit_rating,recruit_ranking,recruit_position,recruit_city,recruit_state_prov
Baker Mayfield,2018,Oklahoma,497.0,699.0,8009.0,79.0,13.0,,,159.0,453.0,11.0,,71.1,11.46,6.08,1.86,0.0,2.85,0.6539999999999999,0.714,0.31,0.47650000000000003,0.9305000000000001,0.1295,0.37050000000000005,0.5545,0.6485000000000001,,B12,Oklahoma,2,,,,,,
Sam Darnold,2018,USC,490.0,748.0,6420.0,52.0,20.0,,,121.0,330.0,7.0,,65.51,8.58,2.6,2.67,0.0,2.73,0.423,0.465,0.11199999999999999,0.48350000000000004,0.8805000000000001,0.10600000000000001,0.398,0.544,0.621,,PAC,USC,2,4.0,0.9338,148.0,DUAL,San Clemente,CA
Josh Allen,2018,Wyoming,333.0,592.0,4654.0,39.0,19.0,,,220.0,692.0,12.0,,56.25,7.86,2.05,3.21,0.0,3.15,0.3205,0.28,0.47750000000000004,0.529,0.9835,0.1955,0.388,0.554,0.8089999999999999,,MWC,Wyoming,2,,,,,,
Josh Rosen,2018,UCLA,419.0,682.0,5632.0,36.0,15.0,,,72.0,-169.0,4.0,,61.44,8.26,2.4,2.2,0.0,-2.35,0.33199999999999996,0.3375,0.194,0.575,0.9365,0.0685,0.544,0.5549999999999999,0.718,,PAC,UCLA,2,5.0,0.9932,11.0,PRO,Bellflower,CA
Lamar Jackson,2018,Louisville,461.0,781.0,6879.0,55.0,15.0,,,442.0,2981.0,38.0,,59.03,8.81,3.67,1.92,0.0,6.74,0.4065,0.33899999999999997,0.55,0.6785000000000001,0.9315,0.448,0.657,0.6825,0.7825,,ACC,Louisville,2,3.0,0.8819,398.0,DUAL,Boynton Beach,FL
Mason Rudolph,2018,Oklahoma St.,559.0,873.0,8330.0,60.0,13.0,,,135.0,83.0,16.0,,64.03,9.54,4.62,1.49,0.0,0.61,0.4545,0.461,0.401,0.5365,0.964,0.10250000000000001,0.499,0.5425,0.6759999999999999,,B12,Oklahoma State,2,4.0,0.9004,277.0,PRO,Rock Hill,SC
Kyler Murray,2019,Oklahoma,258.0,360.0,4415.0,43.0,7.0,,,136.0,1034.0,11.0,,71.67,12.26,6.14,1.94,0.0,7.6,0.712,0.722,0.68,0.30900000000000005,0.5135,0.151,0.27349999999999997,0.345,0.38899999999999996,,B12,Oklahoma,2,5.0,0.9854,34.0,DUAL,Allen,TX
Daniel Jones,2019,Duke,437.0,764.0,4690.0,29.0,18.0,,,243.0,757.0,8.0,,57.2,6.14,1.61,2.36,0.0,3.12,0.14650000000000002,0.103,0.317,0.6105,0.963,0.245,0.595,0.5680000000000001,0.748,,ACC,Duke,2,2.0,0.79,2282.0,DUAL,Charlotte,NC
Dwayne Haskins,2019,Ohio St.,386.0,551.0,5065.0,50.0,9.0,,,97.0,208.0,4.0,,70.05,9.19,5.56,1.63,0.0,2.14,0.438,0.481,0.042,0.3335,0.587,0.08499999999999999,0.28200000000000003,0.355,0.46799999999999997,,B1G,Ohio State,2,4.0,0.9561,91.0,PRO,Potomac,MD
Drew Lock,2019,Missouri,476.0,784.0,6820.0,68.0,20.0,,,91.0,256.0,7.0,,60.71,8.7,3.4,2.55,0.0,2.81,0.4265,0.45099999999999996,0.1535,0.486,0.97,0.07999999999999999,0.4565,0.4575,0.6515,,SEC,Missouri,2,4.0,0.9553,98.0,PRO,Lee's Summit,MO
