qb_name,draft_year,draft_round,draft_pick,college,col_conference,recruit_stars,recruit_rating,composite_nfl_score,recruit_rating_scaled,recruit_bias,norm_nfl_ontgt_pct,norm_nfl_badth_pct,norm_nfl_cmp_pct,norm_nfl_any_a,norm_nfl_rate,norm_nfl_qbr,norm_nfl_td_pct,norm_nfl_int_pct,norm_nfl_prss_pct
Baker Mayfield,2018,1,1,Oklahoma,B12,,,58.73758076894992,,,0.49413124079435145,0.6252245867060635,0.606189164640802,0.6379105644868474,0.6146073094102467,0.6364572605561277,0.6320450657442612,0.3937533665406123,0.6920528197291125
Sam Darnold,2018,1,3,USC,PAC,4.0,0.9338,56.89458815253122,93.38,36.485411847468775,0.7549824775255218,0.5633373650276972,0.5288849147112193,0.5459174952307202,0.5414678035475409,0.49124613800205974,0.5437254622969012,0.44297872974705244,0.5475749515435482
Josh Allen,2018,1,7,Wyoming,MWC,,,48.668483009898125,,,0.641568896338057,0.27485006012080615,0.3617385301325102,0.5197975851769175,0.49790214757212814,0.5705458290422244,0.4867034594812248,0.5767032271812867,0.5697775895680117
Josh Rosen,2018,1,10,UCLA,PAC,5.0,0.9932,29.374775081954162,99.32,69.94522491804582,0.32401086901315423,0.3937862085097805,0.2870082451932481,0.2480400332072478,0.2764957773464055,0.0,0.28150142282132656,0.28878538522206854,0.417169992991939
Lamar Jackson,2018,1,32,Louisville,ACC,3.0,0.8819,79.23378158288406,88.19,8.956218417115934,0.8003479100005078,0.5686639556720585,0.7129592145963555,0.85121944673022,0.8988854317924286,0.842430484037075,1.0,0.8829113102645356,0.8289756559677416
Mason Rudolph,2018,3,76,Oklahoma St.,B12,4.0,0.9004,51.2436092633167,90.03999999999999,38.79639073668329,0.5394966732693383,0.44944838642766993,0.6395515260074576,0.4964707350141463,0.5557255402527983,0.29454170957775494,0.6010372973087101,0.453365430000944,0.5546569447218639
Kyler Murray,2019,1,1,Oklahoma,B12,5.0,0.9854,72.10840711194898,98.54,26.43159288805103,0.7621378434658941,0.6490473916650823,0.8112342984619736,0.636874457172133,0.690119772742126,0.7806385169927909,0.5443197253558614,0.7200509770603228,0.8812414505959852
Daniel Jones,2019,1,6,Duke,ACC,2.0,0.79,59.22545707022352,79.0,19.77454292977648,0.6373237022020981,0.6193883991058888,0.639378989430861,0.5178018582663897,0.587349319047549,0.6786817713697219,0.49508702469864024,0.6660670008308831,0.3934479021002548
Dwayne Haskins,2019,1,15,Ohio St.,B1G,4.0,0.9561,42.80979661054838,95.61,52.80020338945162,0.5515021649716148,0.3822607864246803,0.5409064349588188,0.38376577623729613,0.44122614271819804,0.09268795056642642,0.3258266106207941,0.47240581703198536,0.5283287578075455
Drew Lock,2019,2,42,Missouri,SEC,4.0,0.9553,48.281796390354444,95.53,47.24820360964556,0.45828005281798045,0.3429338528883883,0.4911676174220978,0.5709594355093289,0.5123005856442211,0.490216271884655,0.4904681915949664,0.5042093189394768,0.6450735437722295
