qb_name,draft_year,draft_round,draft_pick,nfl_team,college,nfl_ontgt_pct,nfl_badth_pct,nfl_cmp_pct,nfl_any_a,nfl_rate,nfl_qbr,nfl_td_pct,nfl_int_pct,nfl_prss_pct,nfl_g,nfl_gs,nfl_att,nfl_yds,nfl_td,nfl_int,has_advanced_stats,col_cmp_pct,col_yds_per_att,col_td_int_ratio,col_int_rate,col_sack_rate,col_rush_yds_per_att,col_ppa_overall,col_ppa_pass,col_ppa_rush,col_usage_overall,col_usage_pass,col_usage_rush,col_usage_first_down,col_usage_second_down,col_usage_third_down,col_team_win_pct,recruit_rating,recruit_stars,col_conference,col_team,col_seasons_found
Baker Mayfield,2018,1,1,CLE,Oklahoma,70.6,17.671176470588232,61.49647058823529,6.014705882352941,85.89941176470587,52.8,4.814705882352941,3.4235294117647057,22.89588235294118,60.0,58.0,2040.0,7552.0,49.0,35.0,True,71.1,11.46,6.08,1.86,0.0546,2.85,0.6539999999999999,0.714,0.31,0.4765,0.9305,0.1295,0.3705,0.5545,0.6485000000000001,,,,B12,Oklahoma,2
Sam Darnold,2018,1,3,NYJ,USC,75.2,18.526315789473685,59.86631578947368,5.354736842105264,81.0557894736842,45.75,4.203157894736842,3.238947368421053,26.16,52.0,52.0,1710.0,5889.0,36.0,28.0,True,65.51,8.58,2.6,2.67,0.0397,2.73,0.423,0.465,0.1119999999999999,0.4835,0.8805000000000001,0.106,0.398,0.544,0.621,,0.9338,4.0,PAC,USC,2
Josh Allen,2018,1,7,BUF,Wyoming,73.2,22.51254801536492,56.34161331626121,5.167349551856595,78.17067861715749,49.599999999999994,3.808322663252241,2.737516005121639,25.658386683738794,56.0,54.0,1562.0,5163.0,30.0,21.0,True,56.25,7.86,2.05,3.21,0.0708,3.15,0.3205,0.28,0.4775,0.529,0.9835,0.1955,0.388,0.554,0.8089999999999999,,,,MWC,Wyoming,2
Josh Rosen,2018,1,10,ARI,UCLA,67.6,20.869123505976095,54.76573705179283,3.2177290836653385,63.508167330677296,21.9,2.3874501992031867,3.817131474103585,29.10617529880478,40.0,32.0,1004.0,2845.0,12.0,19.0,True,61.44,8.26,2.4,2.2,0.054,-2.35,0.3319999999999999,0.3375,0.194,0.575,0.9365,0.0685,0.544,0.5549999999999999,0.718,,0.9932,5.0,PAC,UCLA,2
Lamar Jackson,2018,1,32,BAL,Louisville,76.0,18.45271453590193,63.747985989492115,7.545008756567425,104.72556917688266,62.8,7.362521891418564,1.5893169877408055,19.80245183887916,62.0,44.0,1142.0,4328.0,42.0,9.0,True,59.03,8.81,3.67,1.92,0.08,6.74,0.4065,0.3389999999999999,0.55,0.6785000000000001,0.9315,0.448,0.657,0.6825,0.7825,,0.8819,3.0,ACC,Louisville,2
Mason Rudolph,2018,3,76,PIT,Oklahoma St.,71.4,20.1,62.20000000000001,5.0,82.0,36.2,4.6,3.2,26.0,20.0,16.0,566.0,1765.0,13.0,9.0,True,64.03,9.54,4.62,1.49,0.0545,0.61,0.4545,0.461,0.401,0.5365,0.964,0.1025,0.499,0.5425,0.6759999999999999,,0.9004,4.0,B12,Oklahoma State,2
Kyler Murray,2019,1,1,ARI,Oklahoma,75.32618181818181,17.342,65.82036363636364,6.007272727272727,90.90018181818184,59.8,4.207272727272727,2.2,18.62163636363637,64.0,64.0,2200.0,7693.0,46.0,24.0,True,71.67,12.26,6.14,1.94,0.0433,7.6,0.712,0.722,0.68,0.309,0.5135,0.151,0.2734999999999999,0.345,0.3889999999999999,,0.9854,5.0,B12,Oklahoma,2
Daniel Jones,2019,1,6,NYG,Duke,73.12513781697905,17.751819184123484,62.19636163175303,5.153031973539141,84.09426681367144,54.85,3.866372657111356,2.402425578831312,29.642116868798237,54.0,52.0,1814.0,5970.0,35.0,22.0,True,57.2,6.14,1.61,2.36,0.0611,3.12,0.1465,0.103,0.317,0.6105,0.963,0.245,0.595,0.5680000000000001,0.748,,0.79,2.0,ACC,Duke,2
Dwayne Haskins,2019,1,15,WAS,Ohio St.,71.6117117117117,21.028378378378378,60.119819819819824,4.191441441441442,74.41734234234235,26.4,2.6943693693693693,3.1286036036036036,26.594819819819826,32.0,26.0,888.0,2804.0,12.0,14.0,True,70.05,9.19,5.56,1.63,0.0375,2.14,0.438,0.481,0.042,0.3335,0.587,0.0849999999999999,0.282,0.355,0.4679999999999999,,0.9561,4.0,B1G,Ohio State,2
Drew Lock,2019,2,42,DEN,Missouri,69.9677796327212,21.571786310517528,59.07095158597663,5.534390651085142,79.12420701168615,45.7,3.834390651085142,3.0093489148580965,23.95726210350584,36.0,36.0,1198.0,3953.0,23.0,18.0,True,60.71,8.7,3.4,2.55,0.0273,2.81,0.4265,0.4509999999999999,0.1535,0.486,0.97,0.0799999999999999,0.4565,0.4575,0.6515,,0.9553,4.0,SEC,Missouri,2
